Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
1,11,054.0 056.0,19-4903CR-HY-060-0930-05400560-0078A-3,78,9.830000,33.51000,,25.81900,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,78.00000,9.830000,9.820000,33.51000,25.81000,218.6000,0.180000,,,,,,,,,,78,,,,,,,,
1,12,054.0 056.0,19-4903CR-HY-060-0930-05400560-0100A-7,100,9.670000,33.58000,,25.90000,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100.0000,9.670000,9.660000,33.58000,25.90000,211.2000,0.220000,,,,,,,,,,101,,,,,,,,
1,13,054.0 056.0,19-4903CR-HY-060-0930-05400560-0117A-3,117,9.500000,33.64000,,25.97500,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,117.0000,9.500000,9.490000,33.64000,25.97000,204.5000,0.260000,,,,,,,,,,118,,,,,,,,
1,14,054.0 056.0,19-4903CR-HY-060-0930-05400560-0125A-7,125,9.320000,33.68900,,26.04300,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125.0000,9.320000,9.310000,33.68900,26.04000,198.2000,0.270000,,,,,,,,,,126,,,,,,,,
1,15,054.0 056.0,19-4903CR-HY-060-0930-05400560-0150A-7,150,8.760000,33.84700,,26.25600,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150.0000,8.760000,8.740000,33.84700,26.25000,178.3000,0.320000,,,,,,,,,,151,,,,,,,,
1,16,054.0 056.0,19-4903CR-HY-060-0930-05400560-0152A-3,152,8.710000,33.86000,,26.27400,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,152.0000,8.710000,8.690000,33.86000,26.27000,176.7000,0.320000,,,,,,,,,,153,,,,,,,,
1,17,054.0 056.0,19-4903CR-HY-060-0930-05400560-0200A-7,200,8.530000,33.87600,,26.31500,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200.0000,8.530000,8.510000,33.87600,26.31000,173.6000,0.410000,,,,,,,,,,201,,,,,,,,
1,18,054.0 056.0,19-4903CR-HY-060-0930-05400560-0221A-3,221,8.450000,,,,,,,3,2,,,9,9,9,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,221.0000,8.450000,8.430000,,,,0.440000,,,,,,,,,,222,,,,,,,,
1,19,054.0 056.0,19-4903CR-HY-060-0930-05400560-0250A-7,250,8.260000,33.92600,,26.39600,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,250.0000,8.260000,8.230000,33.92600,26.39000,166.8000,0.490000,,,,,,,,,,252,,,,,,,,
1,20,054.0 056.0,19-4903CR-HY-060-0930-05400560-0285A-3,285,7.960000,33.98000,,26.48300,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,285.0000,7.960000,7.930000,33.98000,26.48000,158.9000,0.550000,,,,,,,,,,287,,,,,,,,
1,21,054.0 056.0,19-4903CR-HY-060-0930-05400560-0300A-7,300,7.770000,33.99000,,26.51900,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,300.0000,7.770000,7.740000,33.99000,26.51000,155.7000,0.570000,,,,,,,,,,302,,,,,,,,
1,22,054.0 056.0,19-4903CR-HY-060-0930-05400560-0373A-3,373,6.800000,34.04000,,26.69500,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,373.0000,6.800000,6.770000,34.04000,26.69000,139.6000,0.680000,,,,,,,,,,376,,,,,,,,
1,23,054.0 056.0,19-4903CR-HY-060-0930-05400560-0400A-7,400,6.550000,34.05600,,26.74100,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,400.0000,6.550000,6.510000,34.05600,26.74000,135.4000,0.720000,,,,,,,,,,403,,,,,,,,
1,24,054.0 056.0,19-4903CR-HY-060-0930-05400560-0500A-7,500,5.780000,34.11300,,26.88500,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,500.0000,5.780000,5.740000,34.11300,26.88000,122.4000,0.850000,,,,,,,,,,504,,,,,,,,
1,25,054.0 056.0,19-4903CR-HY-060-0930-05400560-0598A-3,598,5.300000,34.16000,,26.98000,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,598.0000,5.300000,5.250000,34.16000,26.98000,114.0000,0.960000,,,,,,,,,,603,,,,,,,,
1,26,054.0 056.0,19-4903CR-HY-060-0930-05400560-0600A-7,600,5.290000,34.16100,,26.98200,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,600.0000,5.290000,5.240000,34.16100,26.98000,113.9000,0.970000,,,,,,,,,,605,,,,,,,,
1,27,054.0 056.0,19-4903CR-HY-060-0930-05400560-0700A-7,700,5.010000,34.21000,,27.05400,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,700.0000,5.010000,4.950000,34.21000,27.05000,107.8000,1.080000,,,,,,,,,,706,,,,,,,,
1,28,054.0 056.0,19-4903CR-HY-060-0930-05400560-0800A-7,800,4.720000,34.26100,,27.12800,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,800.0000,4.720000,4.660000,34.26100,27.12000,101.5000,1.180000,,,,,,,,,,807,,,,,,,,
1,29,054.0 056.0,19-4903CR-HY-060-0930-05400560-0896A-3,896,4.440000,34.31000,,27.19800,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,896.0000,4.440000,4.370000,34.31000,27.19000,95.40000,1.280000,,,,,,,,,,904,,,,,,,,
2,30,052.0 075.0,19-4903CR-HY-060-2112-05200750-0000B-3,0,10.10000,32.95000,,25.33500,,,,3,1,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.000000,10.10000,10.10000,32.95000,25.33000,262.9000,0.000000,,,,,,,,,,0,,,,,,,,
2,31,052.0 075.0,19-4903CR-HY-060-2112-05200750-0010A-3,10,9.890000,32.94000,,25.36300,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.00000,9.890000,9.890000,32.94000,25.36000,260.5000,0.020000,,,,,,,,,,10,,,,,,,,
2,32,052.0 075.0,19-4903CR-HY-060-2112-05200750-0020A-7,20,9.750000,32.93900,,25.38500,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.00000,9.750000,9.750000,32.93900,25.38000,258.6000,0.050000,,,,,,,,,,20,,,,,,,,
2,33,052.0 075.0,19-4903CR-HY-060-2112-05200750-0024A-3,24,9.690000,32.95000,,25.40400,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,24.00000,9.690000,9.690000,32.95000,25.40000,256.9000,0.060000,,,,,,,,,,24,,,,,,,,
2,34,052.0 075.0,19-4903CR-HY-060-2112-05200750-0030A-7,30,9.520000,33.01300,,25.48000,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.00000,9.520000,9.520000,33.01300,25.48000,249.7000,0.070000,,,,,,,,,,30,,,,,,,,
2,35,052.0 075.0,19-4903CR-HY-060-2112-05200750-0047A-3,47,9.060000,33.24000,,25.73200,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,47.00000,9.060000,9.050000,33.24000,25.73000,226.1000,0.110000,,,,,,,,,,47,,,,,,,,
2,36,052.0 075.0,19-4903CR-HY-060-2112-05200750-0050A-7,50,9.040000,33.27200,,25.76000,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.00000,9.040000,9.030000,33.27200,25.76000,223.5000,0.120000,,,,,,,,,,50,,,,,,,,
2,37,052.0 075.0,19-4903CR-HY-060-2112-05200750-0071A-3,71,8.920000,33.46000,,25.92600,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,71.00000,8.920000,8.910000,33.46000,25.92000,208.1000,0.170000,,,,,,,,,,71,,,,,,,,
2,38,052.0 075.0,19-4903CR-HY-060-2112-05200750-0075A-7,75,8.830000,33.48800,,25.96200,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75.00000,8.830000,8.820000,33.48800,25.96000,204.7000,0.170000,,,,,,,,,,75,,,,,,,,
2,39,052.0 075.0,19-4903CR-HY-060-2112-05200750-0094A-3,94,8.370000,33.60000,,26.12100,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,94.00000,8.370000,8.360000,33.60000,26.12000,189.9000,0.210000,,,,,,,,,,95,,,,,,,,
2,40,052.0 075.0,19-4903CR-HY-060-2112-05200750-0100A-7,100,8.260000,33.63100,,26.16200,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100.0000,8.260000,8.250000,33.63100,26.16000,186.1000,0.220000,,,,,,,,,,101,,,,,,,,
2,41,052.0 075.0,19-4903CR-HY-060-2112-05200750-0125A-7,125,7.850000,33.74500,,26.31200,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125.0000,7.850000,7.840000,33.74500,26.31000,172.2000,0.270000,,,,,,,,,,126,,,,,,,,
2,42,052.0 075.0,19-4903CR-HY-060-2112-05200750-0140A-3,140,7.640000,33.80000,,26.38600,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,140.0000,7.640000,7.630000,33.80000,26.38000,165.4000,0.290000,,,,,,,,,,141,,,,,,,,
2,43,052.0 075.0,19-4903CR-HY-060-2112-05200750-0150A-7,150,7.500000,33.83300,,26.43200,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150.0000,7.500000,7.490000,33.83300,26.43000,161.2000,0.310000,,,,,,,,,,151,,,,,,,,
2,44,052.0 075.0,19-4903CR-HY-060-2112-05200750-0189A-3,189,6.980000,33.93000,,26.58100,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,189.0000,6.980000,6.960000,33.93000,26.58000,147.5000,0.370000,,,,,,,,,,190,,,,,,,,
2,45,052.0 075.0,19-4903CR-HY-060-2112-05200750-0200A-7,200,6.850000,33.93900,,26.60600,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200.0000,6.850000,6.830000,33.93900,26.60000,145.3000,0.390000,,,,,,,,,,201,,,,,,,,
2,46,052.0 075.0,19-4903CR-HY-060-2112-05200750-0250A-7,250,6.320000,33.94300,,26.68000,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,250.0000,6.320000,6.300000,33.94300,26.68000,138.8000,0.460000,,,,,,,,,,252,,,,,,,,
2,47,052.0 075.0,19-4903CR-HY-060-2112-05200750-0282A-3,282,6.050000,33.95000,,26.72000,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,282.0000,6.050000,6.030000,33.95000,26.72000,135.3000,0.500000,,,,,,,,,,284,,,,,,,,
2,48,052.0 075.0,19-4903CR-HY-060-2112-05200750-0300A-7,300,5.950000,33.95700,,26.73800,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,300.0000,5.950000,5.920000,33.95700,26.73000,133.7000,0.520000,,,,,,,,,,302,,,,,,,,
2,49,052.0 075.0,19-4903CR-HY-060-2112-05200750-0379A-3,379,5.600000,34.00000,,26.81600,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,379.0000,5.600000,5.570000,34.00000,26.81000,127.1000,0.630000,,,,,,,,,,382,,,,,,,,
2,50,052.0 075.0,19-4903CR-HY-060-2112-05200750-0400A-7,400,5.500000,34.01600,,26.84100,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,400.0000,5.500000,5.470000,34.01600,26.84000,124.9000,0.650000,,,,,,,,,,403,,,,,,,,
2,51,052.0 075.0,19-4903CR-HY-060-2112-05200750-0500A-7,500,5.020000,34.10100,,26.96500,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,500.0000,5.020000,4.980000,34.10100,26.96000,113.9000,0.770000,,,,,,,,,,504,,,,,,,,
2,52,052.0 075.0,19-4903CR-HY-060-2112-05200750-0565A-3,565,4.740000,34.16000,,27.04400,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,565.0000,4.740000,4.700000,34.16000,27.04000,106.9000,0.850000,,,,,,,,,,569,,,,,,,,
2,53,052.0 075.0,19-4903CR-HY-060-2112-05200750-0600A-7,600,4.620000,34.18800,,27.07900,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,600.0000,4.620000,4.570000,34.18800,27.07000,103.7000,0.880000,,,,,,,,,,605,,,,,,,,
2,54,052.0 075.0,19-4903CR-HY-060-2112-05200750-0700A-7,700,4.330000,34.25900,,27.16800,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,700.0000,4.330000,4.280000,34.25900,27.16000,96.00000,0.980000,,,,,,,,,,706,,,,,,,,
2,55,052.0 075.0,19-4903CR-HY-060-2112-05200750-0800A-7,800,4.080000,34.31900,,27.24300,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,800.0000,4.080000,4.020000,34.31900,27.24000,89.60000,1.070000,,,,,,,,,,807,,,,,,,,
2,56,052.0 075.0,19-4903CR-HY-060-2112-05200750-0840A-3,840,3.990000,34.34000,,27.26900,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,840.0000,3.990000,3.930000,34.34000,27.26000,87.30000,1.110000,,,,,,,,,,847,,,,,,,,
2,57,052.0 075.0,19-4903CR-HY-060-2112-05200750-0900A-7,900,3.850000,34.35400,,27.29400,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,900.0000,3.850000,3.780000,34.35400,27.29000,85.10000,1.160000,,,,,,,,,,908,,,,,,,,
2,58,052.0 075.0,19-4903CR-HY-060-2112-05200750-1000A-7,1000,3.620000,34.37800,,27.33700,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1000.000,3.620000,3.550000,34.37800,27.33000,81.50000,1.250000,,,,,,,,,,1009,,,,,,,,
2,59,052.0 075.0,19-4903CR-HY-060-2112-05200750-1100A-7,1100,3.380000,34.40300,,27.38100,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1100.000,3.380000,3.300000,34.40300,27.38000,77.60000,1.320000,,,,,,,,,,1110,,,,,,,,
2,60,052.0 075.0,19-4903CR-HY-060-2112-05200750-1200A-7,1200,3.150000,34.42900,,27.42300,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1200.000,3.150000,3.060000,34.42900,27.42000,73.70000,1.400000,,,,,,,,,,1211,,,,,,,,
2,61,052.0 075.0,19-4903CR-HY-060-2112-05200750-1203A-3,1203,3.140000,34.43000,,27.42500,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1203.000,3.140000,3.050000,34.43000,27.42000,73.50000,1.400000,,,,,,,,,,1214,,,,,,,,
3,62,051.0 085.0,19-4903CR-HY-061-0354-05100850-0000B-3,0,10.20000,32.63000,,25.06900,,,,3,1,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.000000,10.20000,10.20000,32.63000,25.06000,288.2000,0.000000,,,,,,,,,,0,,,,,,,,
3,63,051.0 085.0,19-4903CR-HY-061-0354-05100850-0010A-3,10,10.05000,32.66000,,25.11700,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.00000,10.05000,10.05000,32.66000,25.11000,283.8000,0.020000,,,,,,,,,,10,,,,,,,,
3,64,051.0 085.0,19-4903CR-HY-061-0354-05100850-0020A-7,20,9.950000,32.66000,,25.13400,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.00000,9.950000,9.950000,32.66000,25.13000,282.4000,0.050000,,,,,,,,,,20,,,,,,,,
3,65,051.0 085.0,19-4903CR-HY-061-0354-05100850-0022A-3,22,9.940000,32.66000,,25.13600,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,22.00000,9.940000,9.940000,32.66000,25.13000,282.3000,0.060000,,,,,,,,,,22,,,,,,,,
3,66,051.0 085.0,19-4903CR-HY-061-0354-05100850-0030A-7,30,9.920000,32.67300,,25.15000,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.00000,9.920000,9.920000,32.67300,25.15000,281.1000,0.080000,,,,,,,,,,30,,,,,,,,
3,67,051.0 085.0,19-4903CR-HY-061-0354-05100850-0038A-3,38,9.870000,32.68000,,25.16300,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,38.00000,9.870000,9.870000,32.68000,25.16000,280.0000,0.100000,,,,,,,,,,38,,,,,,,,
3,68,051.0 085.0,19-4903CR-HY-061-0354-05100850-0049A-3,49,9.620000,32.75000,,25.25900,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,49.00000,9.620000,9.610000,32.75000,25.25000,271.1000,0.130000,,,,,,,,,,49,,,,,,,,
3,69,051.0 085.0,19-4903CR-HY-061-0354-05100850-0050A-7,50,9.660000,32.73600,,25.24200,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.00000,9.660000,9.650000,32.73600,25.24000,272.8000,0.140000,,,,,,,,,,50,,,,,,,,
3,70,051.0 085.0,19-4903CR-HY-061-0354-05100850-0055A-3,55,9.900000,32.66000,,25.14300,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,55.00000,9.900000,9.890000,32.66000,25.14000,282.3000,0.150000,,,,,,,,,,55,,,,,,,,
3,71,051.0 085.0,19-4903CR-HY-061-0354-05100850-0073A-3,73,9.650000,32.74000,,25.24700,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,73.00000,9.650000,9.640000,32.74000,25.24000,272.7000,0.200000,,,,,,,,,,73,,,,,,,,
3,72,051.0 085.0,19-4903CR-HY-061-0354-05100850-0075A-7,75,9.620000,32.76500,,25.27100,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75.00000,9.620000,9.610000,32.76500,25.27000,270.4000,0.210000,,,,,,,,,,75,,,,,,,,
3,73,051.0 085.0,19-4903CR-HY-061-0354-05100850-0099A-3,99,9.230000,33.12000,,25.61200,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,99.00000,9.230000,9.220000,33.12000,25.61000,238.5000,0.270000,,,,,,,,,,100,,,,,,,,
3,74,051.0 085.0,19-4903CR-HY-061-0354-05100850-0100A-7,100,9.210000,33.13200,,25.62400,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100.0000,9.210000,9.200000,33.13200,25.62000,237.3000,0.270000,,,,,,,,,,101,,,,,,,,
3,75,051.0 085.0,19-4903CR-HY-061-0354-05100850-0125A-7,125,8.790000,33.39800,,25.89900,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125.0000,8.790000,8.780000,33.39800,25.89000,211.7000,0.320000,,,,,,,,,,126,,,,,,,,
3,76,051.0 085.0,19-4903CR-HY-061-0354-05100850-0150A-7,150,8.370000,33.60500,,26.12600,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150.0000,8.370000,8.350000,33.60500,26.12000,190.5000,0.380000,,,,,,,,,,151,,,,,,,,
3,77,051.0 085.0,19-4903CR-HY-061-0354-05100850-0191A-3,191,7.710000,33.82000,,26.39200,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,191.0000,7.710000,7.690000,33.82000,26.39000,165.7000,0.450000,,,,,,,,,,192,,,,,,,,
3,78,051.0 085.0,19-4903CR-HY-061-0354-05100850-0200A-7,200,7.580000,33.84400,,26.43000,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200.0000,7.580000,7.560000,33.84400,26.43000,162.3000,0.460000,,,,,,,,,,201,,,,,,,,
